record_id,Duplicate_1,Duplicate_2,Duplicate_3,redcap_event_name,redcap_survey_identifier,student_survey_timestamp,group,group_value,list_discipline,list_year_enrolled,advanced,student_survey_new_participant_timestamp,advanced_nu,milestones_cogsci,milestones_cogsci_nu,milestones_psysci,milestones_psysci_nu,enjoy,enjoy_nu,good,good_nu,nonexperts,nonexperts_nu,discouraged,discouraged_nu,writers_block,writers_block_nu,inspired,inspired_nu,cant_start,cant_start_nu,rejection,rejection_nu,rcv_fdbk,rcv_fdbk_nu,gv_fdbk,gv_fdbk_nu,timeblock,timeblock_j22_nu,hours,hours_j22_nu,conference_submit,conference_submit_nu,conference_accept,conference_accept_nu,perma_hap,perma_hap_nu
59,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,1,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:07,5,NaN,NaN,NaN,0,06/21/0022 11:25,0,NaN,NaN,NaN,NaN,6,6,6,6,6,6,2,3,5,5,5,5,6,5,3,2,6,4,3,5,30,60,5,3,0,0,0,0,62,60
60,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,3,8,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:01,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,4,NaN,5,NaN,6,NaN,3,NaN,7,NaN,7,NaN,6,NaN,2,NaN,4,NaN,50,NaN,5,NaN,0,NaN,0,NaN,57,NaN
61,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,3,7,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:04,2,100,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,5,NaN,7,NaN,6,NaN,4,NaN,6,NaN,7,NaN,1,NaN,5,NaN,30,NaN,1,NaN,0,NaN,0,NaN,11,NaN
63,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,7,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:03,2,75,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,6,NaN,5,NaN,5,NaN,4,NaN,4,NaN,3,NaN,3,NaN,5,NaN,30,NaN,4,NaN,0,NaN,0,NaN,70,NaN
65,250,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,5,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:08,NaN,100,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,5,NaN,4,NaN,4,NaN,2,NaN,4,NaN,1,NaN,1,NaN,5,NaN,30,NaN,18,NaN,5,NaN,5,NaN,60,NaN
66,371,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,7,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:06,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,7,NaN,6,NaN,7,NaN,5,NaN,6,NaN,3,NaN,3,NaN,2,NaN,4,NaN,6,NaN,60,NaN,10,NaN,0,NaN,0,NaN,63,NaN
66,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,06/25/0022 14:08,0,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,7,NaN,5,NaN,5,NaN,4,NaN,3,NaN,2,NaN,3,NaN,5,NaN,25,NaN,10,NaN,0,NaN,0,NaN,63
67,233,360,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,3,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:04,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,5,NaN,6,NaN,2,NaN,4,NaN,6,NaN,4,NaN,2,NaN,2,NaN,2,NaN,7,NaN,45,NaN,0,NaN,0,NaN,0,NaN,69,NaN
68,231,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:04,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,6,NaN,6,NaN,6,NaN,6,NaN,5,NaN,6,NaN,6,NaN,6,NaN,30,NaN,0,NaN,0,NaN,0,NaN,74,NaN
68,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,06/23/0022 09:48,0,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,6,NaN,6,NaN,7,NaN,7,NaN,5,NaN,5,NaN,5,NaN,6,NaN,30,NaN,3,NaN,3,NaN,3,NaN,71
69,260,334,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,6,8,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:06,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,5,NaN,5,NaN,6,NaN,6,NaN,5,NaN,2,NaN,2,NaN,2,NaN,3,NaN,5,NaN,20,NaN,6,NaN,0,NaN,0,NaN,61,NaN
69,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,06/23/0022 10:07,0,NaN,NaN,NaN,NaN,NaN,4,NaN,4,NaN,6,NaN,6,NaN,4,NaN,2,NaN,2,NaN,2,NaN,4,NaN,4,NaN,10,NaN,25,NaN,4,NaN,1,NaN,61
70,83,313,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,3,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,267,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,7,5,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 11:10,1,100,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,5,NaN,7,NaN,7,NaN,7,NaN,4,NaN,7,NaN,5,NaN,6,NaN,30,NaN,10,NaN,0,NaN,0,NaN,50,NaN
71,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,06/23/0022 10:08,1,NaN,NaN,NaN,NaN,NaN,7,NaN,6,NaN,4,NaN,7,NaN,7,NaN,7,NaN,5,NaN,4,NaN,4,NaN,7,NaN,30,NaN,40,NaN,2,NaN,0,NaN,83
72,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,1,6,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:23,5,NaN,NaN,NaN,1,06/21/0022 11:00,1,NaN,NaN,NaN,NaN,5,4,4,3,5,5,6,5,5,6,6,3,2,2,2,3,1,3,3,4,60,100,5,0,0,1,0,0,54,50
73,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,06/23/0022 10:42,1,NaN,NaN,NaN,NaN,NaN,5,NaN,4,NaN,5,NaN,5,NaN,6,NaN,5,NaN,3,NaN,3,NaN,2,NaN,4,NaN,100,NaN,0,NaN,1,NaN,0,NaN,54
74,202,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,4,NaN,4,NaN,5,NaN,5,NaN,5,NaN,4,NaN,4,NaN,2,NaN,5,NaN,41,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,1,5,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:26,1,50,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,5,NaN,4,NaN,2,NaN,4,NaN,1,NaN,5,NaN,3,NaN,4,NaN,7,NaN,60,NaN,11,NaN,0,NaN,0,NaN,59,NaN
76,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,5,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:14,NaN,75,NaN,NaN,0,01/01/0000 00:00,0,NaN,NaN,NaN,NaN,4,3,3,3,6,6,5,5,4,5,5,5,4,5,6,5,3,5,4,5,41,50,4,5,2,NaN,2,NaN,57,NaN
77,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,256,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,7,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:22,NaN,75,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,5,NaN,6,NaN,6,NaN,5,NaN,6,NaN,5,NaN,5,NaN,5,NaN,2,NaN,5,NaN,30,NaN,20,NaN,0,NaN,1,NaN,70,NaN
79,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,3,8,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:22,5,NaN,NaN,NaN,0,06/21/0022 13:13,1,NaN,NaN,NaN,NaN,5,4,6,6,5,5,7,7,5,7,5,5,6,5,4,4,3,2,7,5,40,100,10,3,0,2,0,2,34,50
80,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,300,341,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,7,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:23,NaN,91,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,5,NaN,5,NaN,5,NaN,6,NaN,5,NaN,2,NaN,3,NaN,3,NaN,50,NaN,6,NaN,1,NaN,1,NaN,62,NaN
82,NaN,NaN,NaN,june_2022_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,06/23/0022 11:32,0,NaN,NaN,NaN,NaN,NaN,7,NaN,6,NaN,6,NaN,5,NaN,5,NaN,4,NaN,5,NaN,2,NaN,2,NaN,5,NaN,32,NaN,10,NaN,2,NaN,1,NaN,40
83,70,313,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:25,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,5,NaN,3,NaN,3,NaN,5,NaN,6,NaN,5,NaN,6,NaN,6,NaN,20,NaN,0,NaN,0,NaN,0,NaN,57,NaN
84,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,7,5,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,5,NaN,NaN,NaN,1,NaT,NaN,NaN,NaN,NaN,NaN,4,NaN,4,NaN,5,NaN,6,NaN,6,NaN,5,NaN,5,NaN,5,NaN,5,NaN,6,NaN,60,NaN,10,NaN,2,NaN,2,NaN,42,NaN
85,327,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,7,7,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:42,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,7,NaN,5,NaN,5,NaN,7,NaN,5,NaN,5,NaN,4,NaN,6,NaN,2,NaN,3,NaN,60,NaN,15,NaN,0,NaN,0,NaN,82,NaN
86,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:28,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,2,NaN,2,NaN,5,NaN,7,NaN,7,NaN,6,NaN,2,NaN,3,NaN,7,NaN,7,NaN,50,NaN,5,NaN,1,NaN,1,NaN,43,NaN
87,238,349,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,1,4,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:30,5,NaN,NaN,NaN,1,01/01/0000 00:00,1,NaN,NaN,NaN,NaN,6,6,6,6,6,5,7,7,6,5,6,5,4,6,4,4,4,5,6,5,60,30,10,10,2,NaN,2,NaN,64,NaN
88,225,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,3,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,5,NaN,4,NaN,4,NaN,5,NaN,5,NaN,7,NaN,4,NaN,6,NaN,5,NaN,30,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,NaN,NaN,NaN,NaN,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,9,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,sept_2021_arm_1,NaN,09/28/0021 10:32,2,50,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,6,NaN,6,NaN,6,NaN,4,NaN,3,NaN,3,NaN,4,NaN,3,NaN,3,NaN,5,NaN,25,NaN,10,NaN,0,NaN,0,NaN,50,NaN
91,NaN,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,1,9,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,NaN,NaN,NaN,sept_2021_arm_1,NaN,01/01/0000 00:00,5,NaN,NaN,NaN,0,NaT,NaN,NaN,NaN,NaN,NaN,3,NaN,6,NaN,5,NaN,7,NaN,7,NaN,7,NaN,7,NaN,5,NaN,2,NaN,5,NaN,8,NaN,3,NaN,0,NaN,0,NaN,NaN,NaN
92,232,NaN,NaN,phdx_study_enrollm_arm_1,NaN,NaT,NaN,NaN,4,10,NaN,NaT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
